<<<<<<< HEAD
10227;MAROLLES SOUS LIGNIERES;10130
10166;LES GRANDES CHAPELLES;10170
10232;MERREY SUR ARCE;10110
10182;JUVANCOURT;10310
10190;LAUBRESSEL;10270
10173;ISLE AUMONT;10800
10196;LIGNIERES;10130
10230;MERGEY;10600
10212;MACHY;10320
11111;CRUSCADES;11200
11112;CUBIERES SUR CINOBLE;11190
11113;CUCUGNAN;11350
11121;DONAZAC;11240
11133;FAJAC EN VAL;11220
11142;FESTES ET ST ANDRE;11300
11147;FONTANES DE SAULT;11140
11148;FONTCOUVERTE;11700
11152;FONTJONCOUSE;11360
11160;GALINAGUES;11140
11162;GENERVILLE;11270
11164;GINESTAS;11120
11169;GREFFEIL;11250
11170;GRUISSAN;11430
11172;HOMPS;11200
11175;ISSEL;11400
11177;JOUCOU;11140
11180;LABASTIDE ESPARBAIRENQUE;11380
11182;LACOMBE;11310
11185;LAGRASSE;11220
11189;LAPRADE;11390
11190;LA REDORTE;11700
11192;LASBORDES;11400
11196;LAURAC;11270
11202;LEUCATE;11370
11202;LEUCATE;11370
11212;MAILHAC;11120
11226;MAYREVILLE;11420
11230;MERIAL;11140
11241;MONTBRUN DES CORBIERES;11700
11242;MONTCLAR;11250
11246;MONTGRADAIL;11240
11247;MONTHAUT;11240
11251;MONTLAUR;11220
11255;MONTREDON DES CORBIERES;11100
11260;MOUTHOUMET;11330
11264;NEVIAN;11200
11270;PADERN;11350
11279;PENNAUTIER;11610
11283;PEYREFITTE SUR L HERS;11420
11285;PEYRIAC DE MER;11440
11288;PEZENS;11170
11293;POMAS;11250
11297;PRADELLES CABARDES;11380
11298;PRADELLES EN VAL;11220
11299;PREIXAN;11250
11302;PUILAURENS;11140
11304;QUILLAN;11500
11314;RIEUX EN VAL;11220
11318;ROQUECOURBE MINERVOIS;11700
11320;ROQUEFEUIL;11340
11321;ROQUEFORT DE SAULT;11140
11335;STE COLOMBE SUR GUETTE;11140
11338;ST COUAT DU RAZES;11300
11351;ST LAURENT DE LA CABRERISSE;11220
11361;ST PAPOUL;11400
11367;SAISSAC;11310
11385;SOUPEX;11320
11397;TREBES;11800
11400;TREZIERS;11230
11412;VILLARDEBELLE;11580
11417;VILLARZEL DU RAZES;11300
11429;VILLEMOUSTAUSSOU;11620
11431;VILLENEUVE LES CORBIERES;11360
11432;VILLENEUVE LES MONTREAL;11290
11434;VILLEPINTE;11150
12002;AGUESSAC;12520
12018;BALAGUIER D OLT;12260
12023;LA BASTIDE SOLAGES;12550
12025;BELMONT SUR RANCE;12370
12029;BOR ET BAR;12270
12036;BROMMAT;12600
12037;BROQUIES;12480
12043;CALMONT;12450
12053;LA CAPELLE BALAGUIER;12260
12067;LE CLAPIER;12540
12073;COMPS LA GRAND VILLE;12120
12076;CONQUES EN ROUERGUE;12320
12076;CONQUES EN ROUERGUE;12320
12084;CREISSELS;12100
12094;ENTRAYGUES SUR TRUYERE;12140
12099;FAYET;12360
12100;FIRMI;12300
12108;GALGAN;12220
12109;GISSAC;12360
12110;GOLINHAC;12140
12127;LEDERGUES;12170
12129;LESTRADE ET THOUELS;12430
12144;MELJAC;12120
12145;MILLAU;12100
12147;MONTAGNOL;12360
11053;BRUGAIROLLES;11300
11056;CABRESPINE;11160
11073;CASSAIGNES;11190
11046;BOURIGEOLE;11300
11059;CAILHAVEL;11240
11048;BOUTENAC;11200
11044;BOUISSE;11330
11070;CARLIPA;11170
11060;CAILLA;11140
1001;L ABERGEMENT CLEMENCIAT;1400
1021;ARS SUR FORMANS;1480
1006;AMBLEON;1300
2111;BRANCOURT EN LAONNOIS;2320
2133;BUCY LES PIERREPONT;2350
2169;CHATILLON LES SONS;2270
2127;BRUYERES SUR FERE;2130
2141;LA CAPELLE;2260
2175;CHAVIGNY;2880
2152;CERSEUIL;2220
2121;BRENY;2210
2129;BRUYS;2220
1187;HAUT VALROMEY;1260
1165;FRANCHELEINS;1090
1146;DOMPIERRE SUR CHALARONNE;1400
1145;DOMPIERRE SUR VEYLE;1240
1169;GENOUILLEUX;1090
1151;DRUILLAT;1160
1175;GORREVOD;1190
1157;FAREINS;1480
1162;FLAXIEU;1350
1173;GEX;1170
1410;SONTHONNAX LA MONTAGNE;1580
1410;SONTHONNAX LA MONTAGNE;1580
1403;SERRIERES DE BRIORD;1470
1384;ST RAMBERT EN BUGEY;1230
1383;ST PAUL DE VARAX;1240
1417;THEZILLIEU;1110
1406;SERVIGNAT;1560
1420;THOISSEY;1140
1411;SOUCLIN;1150
1401;SERGY;1630
1079;CHAMPAGNE EN VALROMEY;1260
1088;CHARNOZ SUR AIN;1800
1081;CHAMPFROMIER;1410
1098;CHAZEY BONS;1300
1115;CONFRANCON;1310
1109;COLLONGES;1550
1144;DOMMARTIN;1380
1075;CHALEINS;1480
1110;COLOMIEU;1300
1134;CROTTET;1750
1338;GROSLEE ST BENOIT;1680
1286;PARVES ET NATTAGES;1300
1332;ST ANDRE DE BAGE;1380
1337;ST BENIGNE;1190
1323;REYSSOUZE;1190
1319;RELEVANT;1990
1331;ST ALBAN;1450
1303;PONCIN;1450
1308;POUGNY;1550
1288;PERON;1630
1187;HAUT VALROMEY;1260
1240;MATAFELON GRANGES;1580
1240;MATAFELON GRANGES;1580
1229;MALAFRETAZ;1340
1197;JOURNANS;1250
1196;JAYAT;1340
1225;LURCY;1090
1216;LHUIS;1680
1211;LENT;1240
1209;LEAZ;1200
1245;BOHAS MEYRIAT RIGNAT;1250
1245;BOHAS MEYRIAT RIGNAT;1250
1243;MESSIMY SUR SAONE;1480
1252;MOGNENEINS;1140
1280;ORDONNAZ;1510
1249;MIRIBEL;1700
1248;MIONNAY;1390
1247;MIJOUX;1170
1247;MIJOUX;1410
1284;OZAN;1190
2018;ANIZY LE CHATEAU;2320
2028;ATHIES SOUS LAON;2840
2015;ANCIENVILLE;2600
2016;ANDELAIN;2800
1054;BOURG ST CHRISTOPHE;1800
1032;BELIGNEUX;1360
1056;BOYEUX ST JEROME;1640
1052;BOULIGNEUX;1330
1072;CEYZERIAT;1250
1024;ATTIGNAT;1340
1029;BEAUPONT;1270
1051;BOLOZON;1450
1045;BIRIEUX;1330
1059;BRENAZ;1260
1358;ST GERMAIN LES PAROISSES;1300
1367;ST JULIEN SUR REYSSOUZE;1560
1362;ST JEAN DE THURIGNEUX;1390
1376;ST MAURICE DE BEYNOST;1700
1368;ST JULIEN SUR VEYLE;1540
77020;BANNOST VILLEGAGNON;77970
77021;BARBEY;77130
77025;BAZOCHES LES BRAY;77118
77027;BEAUMONT DU GATINAIS;77890
77034;BLANDY;77115
77035;BLENNES;77940
77037;BOIS LE ROI;77590
77038;BOISSETTES;77350
77039;BOISSISE LA BERTRAND;77350
77045;BOUGLIGNY;77570
77048;BOURRON MARLOTTE;77780
77050;BRANSLES;77620
77051;BRAY SUR SEINE;77480
77052;BREAU;77720
77059;BUSSY ST MARTIN;77600
77060;BUTHIERS;77760
77073;CHALAUTRE LA PETITE;77160
77081;CHAMPDEUIL;77390
77089;LA CHAPELLE RABLAIS;77370
77104;CHATRES;77610
77108;CHELLES;77500
77114;CHEVRY COSSIGNY;77173
77122;COMBS LA VILLE;77380
77123;COMPANS;77290
77125;CONDE STE LIBIAIRE;77450
77131;COULOMMIERS;77120
77137;COURTACON;77560
77140;COUTENCON;77154
77146;CROISSY BEAUBOURG;77183
77156;DARVAULT;77140
77178;FAY LES NEMOURS;77167
77194;FORGES;77130
77198;FROMONT;77760
77199;FUBLAINES;77470
77206;GIREMOUTIERS;77120
77211;GRANDPUITS BAILLY CARROIS;77720
77211;GRANDPUITS BAILLY CARROIS;77720
77215;GRETZ ARMAINVILLIERS;77220
77217;GRISY SUISNES;77166
77221;GUERMANTES;77600
77226;HERICY;77850
77228;HONDEVILLIERS;77510
77232;ISLES LES VILLENOY;77450
77238;JOUARRE;77640
77249;LESIGNY;77150
77256;LIZINES;77650
77257;LIZY SUR OURCQ;77440
77261;LORREZ LE BOCAGE PREAUX;77710
77264;LUMIGNY NESLES ORMEAUX;77540
77267;LA MADELEINE SUR LOING;77570
77269;MAINCY;77950
77270;MAISONCELLES EN BRIE;77580
77280;MARY SUR MARNE;77440
77281;MAUPERTHUIS;77120
77283;MAY EN MULTIEN;77145
77284;MEAUX;77100
77285;LE MEE SUR SEINE;77350
77287;MEILLERAY;77320
77295;MOISENAY;77950
77300;MONTCEAUX LES MEAUX;77470
77305;MONTEREAU FAULT YONNE;77130
77306;MONTEREAU SUR LE JARD;77950
77307;MONTEVRAIN;77144
77313;MONTMACHOUX;77940
77316;MORET LOING ET ORVANNE;77250
77316;MORET LOING ET ORVANNE;77250
77318;MORTCERF;77163
77328;NANTEAU SUR ESSONNE;77760
77330;NANTEUIL LES MEAUX;77100
77335;CHAUCONIN NEUFMONTIERS;77124
77338;NOISY RUDIGNON;77940
77339;NOISY SUR ECOLE;77123
77349;OTHIS;77280
77354;PAMFOU;77830
77356;PASSY SUR SEINE;77480
77359;PERTHES;77930
77361;PIERRE LEVEE;77580
77363;LE PIN;77181
77373;PONTAULT COMBAULT;77340
77376;PRECY SUR MARNE;77410
77382;QUINCY VOISINS;77860
77385;REBAIS;77510
77386;RECLOSES;77760
77387;REMAUVILLE;77710
77393;ROZAY EN BRIE;77540
77395;RUMONT;77760
77401;STE AULDE;77260
77405;ST CYR SUR MORIN;77750
77407;ST FARGEAU PONTHIERRY;77310
77409;ST GERMAIN LAVAL;77130
77411;ST GERMAIN SOUS DOUE;77169
77417;ST LEGER;77510
77428;ST OUEN EN BRIE;77720
77431;ST PIERRE LES NEMOURS;77140
77432;ST REMY LA VANNE;77320
77435;ST SAUVEUR SUR ECOLE;77930
77436;ST SIMEON;77169
77444;SANCY LES PROVINS;77320
77447;SEINE PORT;77240
77451;SIGNY SIGNETS;77640
1015;ARBOYS EN BUGEY;1300
1032;BELIGNEUX;1360
1005;AMBERIEUX EN DOMBES;1330
1009;ANDERT ET CONDON;1300
1026;BAGE LE CHATEL;1380
1008;AMBUTRIX;1500
1014;ARBENT;1100
1012;ARANC;1110
2580;OULCHY LE CHATEAU;2210
2578;OULCHES LA VALLEE FOULON;2160
2621;PRESLES ET THIERNY;2860
2580;OULCHY LE CHATEAU;2210
2605;PLEINE SELVE;2240
2599;PIERREMANDE;2300
2613;PONTAVERT;2160
2604;PITHON;2480
2596;PAVANT;2310
2673;ST CHRISTOPHE A BERRY;2290
2698;SANCY LES CHEMINOTS;2880
2667;SACONIN ET BREUIL;2200
2678;STE GENEVIEVE;2340
2674;ST CLEMENT;2360
2671;ST AUBIN;2300
2675;STE CROIX;2820
2670;ST ALGIS;2260
2711;SERCHES;2220
2458;DHUYS ET MORIN EN BRIE;2540
2471;MARTIGNY COURPIERRE;2860
2483;MEZIERES SUR OISE;2240
2460;MARCY SOUS MARLE;2250
2477;MERCIN ET VAUX;2200
2467;MARIZY ST MARD;2470
2490;MONAMPTEUIL;2000
2474;MENNESSIS;2700
2482;MEURIVAL;2160
2453;MAIZY;2160
2439;LES SEPTVALLONS;2160
2422;LESQUIELLES ST GERMAIN;2120
2435;LOGNY LES AUBENTON;2500
2451;MAGNY LA FOSSE;2420
2428;LICY CLIGNON;2810
2448;MACHECOURT;2350
2446;LY FONTAINE;2440
2426;LEVERGIES;2420
2449;MACOGNY;2470
2427;LHUYS;2220
2558;LE NOUVION EN THIERACHE;2170
2538;NANTEUIL NOTRE DAME;2210
2535;NAMPCELLES LA COUR;2140
2537;NANTEUIL LA FOSSE;2880
2533;MURET ET CROUTTES;2210
2532;MOY DE L AISNE;2610
2552;NEUVILLETTE;2390
2542;NEUFLIEUX;2300
2554;NOGENTEL;2400
2539;NAUROY;2420
2511;MONTIGNY EN ARROUAISE;2110
2515;MONTIGNY LES CONDE;2330
2512;MONTIGNY L ALLIER;2810
2501;MONTCHALONS;2860
2500;MONTBREHAIN;2110
2502;MONTCORNET;2340
2518;MONTLEVON;2330
2499;MONTBAVIN;2000
2525;MORCOURT;2100
2529;MORTIERS;2270
2403;LANDIFAY ET BERTAIGNEMONT;2120
2405;LANDOUZY LA VILLE;2140
2393;JOUAIGNES;2220
2378;LA HERIE;2500
2398;JUVIGNY;2880
2391;JEANTES;2140
2385;HOUSSET;2250
2384;HOURY;2140
2418;LERZY;2260
2373;HARY;2140
2559;NOUVION ET CATILLON;2270
2577;OSTEL;2370
2566;OGNES;2300
2569;OISY;2450
2567;OHIS;2500
2661;ROYAUCOURT ET CHAILVET;2000
2633;QUINCY SOUS LE MONT;2220
2653;ROMENY SUR MARNE;2310
2637;REMAUCOURT;2100
2641;RENNEVAL;2340
2644;RETHEUIL;2600
2624;PROISY;2120
2638;REMIES;2270
2625;PROIX;2120
2737;TAVAUX ET PONTSERICOURT;2250
2713;SERINGES ET NESLES;2130
2726;SOMMETTE EAUCOURT;2480
2718;SILLY LA POTERIE;2460
2732;SURFONTAINE;2240
2735;TANNIERES;2220
2738;TERGNIER;2700
2716;SERVAIS;2700
2729;SOUCY;2600
2738;TERGNIER;2700
1004;AMBERIEU EN BUGEY;1500
2819;VINCY REUIL ET MAGNY;2340
2834;WISSIGNICOURT;2320
3022;BELLENAVES;3330
3035;LE BOUCHAUD;3130
3005;ARCHIGNAT;3380
2823;VOHARIES;2140
3015;BAGNEUX;3460
2824;VORGES;2860
3037;BRAIZE;3360
4167;LA ROBINE SUR GALABRE;4000
4155;PRADS HAUTE BLEONE;4420
4177;HAUTES DUYES;4380
4161;MEOLANS REVEL;4340
4162;REVEST DES BROUSSES;4150
4155;PRADS HAUTE BLEONE;4420
4170;LA ROCHETTE;6260
4157;PUIMOISSON;4410
4159;REDORTIERS;4150
7075;CROS DE GEORAND;7630
7059;CHATEAUBOURG;7130
7053;CHANDOLAS;7230
7048;CHALENCON;7240
7051;CHAMPAGNE;7340
7065;CHIROLS;7380
7077;DARBRES;7170
7052;CHAMPIS;7440
7039;BOZAS;7410
8116;BAIRON ET SES ENVIRONS;8390
8113;CHAUMONT PORCIEN;8220
8115;CHEMERY CHEHERY;8450
8089;BUZANCY;8240
8107;CHATEAU PORCIEN;8360
8115;CHEMERY CHEHERY;8450
8082;BRECY BRIERES;8400
8097;CHALLERANGE;8400
8120;CHEVIERES;8250
8104;CHARDENY;8400
8169;FLAIGNES HAVYS;8260
8183;FROMELENNES;8600
8203;GUIGNICOURT SUR VENCE;8430
8180;LA FRANCHEVILLE;8000
8200;GRIVY LOISY;8400
8211;HARAUCOURT;8450
8223;HERBEUVAL;8370
8220;HAUVINE;8310
8172;FLIGNY;8380
8242;LAIFOUR;8800
8235;ISSANCOURT ET RUMEL;8440
8225;HERPY L ARLESIENNE;8360
8279;MARS SOUS BOURCQ;8400
8249;LAVAL MORENCY;8150
8278;MARQUIGNY;8390
8269;MALANDRY;8370
8262;LUCQUY;8300
8245;LANCON;8250
8232;ILLY;8200
8362;RETHEL;8300
8367;ROCROI;8230
8384;ST LAMBERT ET MONT DE JEUX;8130
8386;ST LOUP EN CHAMPAGNE;8300
8397;ST REMY LE PETIT;8300
8346;PRIX LES MEZIERES;8000
8356;REMAUCOURT;8220
8380;ST FERGEUX;8360
8385;ST LAURENT;8090
8388;ST MARCEAU;8160
8302;MONTHERME;8800
8326;NOUART;8240
8311;MOUZON;8210
8317;LA NEUVILLE A MAIRE;8450
8313;NANTEUIL SUR AISNE;8300
8304;MONTIGNY SUR MEUSE;8170
8296;MONTCHEUTIN;8250
8294;LA MONCELLE;8140
8326;NOUART;8240
8336;OSNES;8110
8419;SIGNY L ABBAYE;8460
8413;SERAINCOURT;8220
8417;SEVIGNY LA FORET;8230
8419;SIGNY L ABBAYE;8460
8410;SEMIDE;8400
8411;SEMUY;8130
8437;TAILLY;8240
8446;THENORGUES;8240
8445;THELONNE;8350
8451;LE THOUR;8190
8457;TOURNES;8090
8439;TANNAY;8390
8422;SINGLY;8430
8438;TAIZY;8360
8453;TOGES;8400
8460;TREMBLOIS LES ROCROI;8150
8479;VILLERS LE TOURNEUR;8430
8463;VAUX EN DIEULET;8240
8464;VAUX LES MOURON;8250
8486;VIREUX MOLHAIN;8320
9001;AIGUES JUNTES;9240
9007;ALLIERES;9240
9015;ARIGNAC;9400
12149;MONTCLAR;12550
12157;MONTROZIER;12630
12166;MUROLS;12600
12176;ONET LE CHATEAU;12850
12177;PALMAS D AVEYRON;12340
12178;PAULHE;12520
12182;PIERREFICHE;12130
12191;PRIVEZAC;12350
12194;QUINS;12800
12199;RIGNAC;12390
12207;RULLAC ST CIRQ;12120
12212;ST BEAULIZE;12540
12219;STE EULALIE D OLT;12130
12220;STE EULALIE DE CERNON;12230
12223;ARGENCES EN AUBRAC;12210
12225;ST GEORGES DE LUZENCON;12100
12226;ST HIPPOLYTE;12140
12227;ST IGEST;12260
12230;ST JEAN DELNOUS;12170
12235;ST JUST SUR VIAUR;12170
12236;ST LAURENT DE LEVEZOU;12620
12240;ST PARTHEM;12300
12254;SALLES LA SOURCE;12330
12264;SEBAZAC CONCOURES;12740
12265;SEBRAZAC;12190
12277;TAUSSAC;12600
12278;TAYRAC;12440
12291;VERRIERES;12520
12293;VEYREAU;12720
12295;VIALA DU PAS DE JAUX;12250
12303;VIMENET;12310
13001;AIX EN PROVENCE;13540
13004;ARLES;13129
13004;ARLES;13280
13010;BARBENTANE;13570
13014;BERRE L ETANG;13130
13015;BOUC BEL AIR;13320
13018;CABANNES;13440
13023;CEYRESTE;13600
13033;ENSUES LA REDONNE;13820
13035;EYGUIERES;13430
13036;EYRAGUES;13630
13041;GARDANNE;13120
13042;GEMENOS;13420
13043;GIGNAC LA NERTHE;13180
13045;GRAVESON;13690
13046;GREASQUE;13850
13061;ST PIERRE DE MEZOARGUES;13150
13062;MIMET;13105
13072;PEYNIER;13790
13078;PORT ST LOUIS DU RHONE;13230
13084;LA ROQUE D ANTHERON;13640
13085;ROQUEFORT LA BEDOULE;13830
13088;LE ROVE;13740
13097;ST MARTIN DE CRAU;13310
13104;SAUSSET LES PINS;13960
13107;SIMIANE COLLONGUE;13109
13110;TRETS;13530
13110;TRETS;13530
13202;MARSEILLE 02;13002
13205;MARSEILLE 05;13005
13209;MARSEILLE 09;13009
13211;MARSEILLE 11;13011
13212;MARSEILLE 12;13012
13213;MARSEILLE 13;13013
14005;AIRAN;14370
14006;AMAYE SUR ORNE;14210
14016;ANNEBAULT;14430
14031;LES AUTHIEUX PAPION;14140
14034;AVENAY;14210
14036;BANNEVILLE LA CAMPAGNE;14940
14044;BASLY;14610
14045;BASSENEVILLE;14670
14047;BAYEUX;14400
14054;BEAUMESNIL;14380
14055;BEAUMONT EN AUGE;14950
14057;BELLENGREVILLE;14370
14061;SOULEUVRE EN BOCAGE;14350
14061;SOULEUVRE EN BOCAGE;14350
14061;SOULEUVRE EN BOCAGE;14350
14073;LA BIGNE;14260
14081;BOISSEY;14170
14093;BRANVILLE;14430
14124;LA CAMBE;14230
14125;CAMBES EN PLAINE;14610
14126;CAMBREMER;14340
14134;CANTELOUP;14370
14136;CARDONVILLE;14230
14141;CASTILLON EN AUGE;14140
14142;CASTILLY;14330
14143;CAUMONT L EVENTE;14240
14145;CAUVICOURT;14190
14146;CAUVILLE;14770
14150;CESNY BOIS HALBOUT;14220
14158;CHICHEBOVILLE;14370
14163;CLEVILLE;14370
14164;CLINCHAMPS SUR ORNE;14320
14172;COMMES;14520
14174;CONDE EN NORMANDIE;14110
14174;CONDE EN NORMANDIE;14770
1372;ST MARTIN DE BAVEL;1510
1339;ST BERNARD;1600
1371;ST MARCEL;1390
1349;ST ELOI;1800
